board,decision,Input
    XOOXX,2,"[0, 0, 0, 0, 1, 2, 2, 1, 1]"
    X OOX,3,"[0, 0, 0, 0, 1, 0, 2, 2, 1]"
   OXXOXO,2,"[0, 0, 0, 2, 1, 1, 2, 1, 2]"
  XXOO   ,1,"[0, 0, 1, 1, 2, 2, 0, 0, 0]"
 X XOOXO ,1,"[0, 1, 0, 1, 2, 2, 1, 2, 0]"
XOO XOXX ,9,"[1, 2, 2, 0, 1, 2, 1, 1, 0]"
X X  O OX,5,"[1, 0, 1, 0, 0, 2, 0, 2, 1]"
 O  X    ,6,"[0, 2, 0, 0, 1, 0, 0, 0, 0]"
    OX OX,3,"[0, 0, 0, 0, 2, 1, 0, 2, 1]"
X XO X  O,2,"[1, 0, 1, 2, 0, 1, 0, 0, 2]"
OX OO X X,6,"[2, 1, 0, 2, 2, 0, 1, 0, 1]"
 X OX O X,1,"[0, 1, 0, 2, 1, 0, 2, 0, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XO  X OX ,9,"[1, 2, 0, 0, 1, 0, 2, 1, 0]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
 OXXOX  O,7,"[0, 2, 1, 1, 2, 1, 0, 0, 2]"
 O O XXOX,3,"[0, 2, 0, 2, 0, 1, 1, 2, 1]"
OXXXXO OO,7,"[2, 1, 1, 1, 1, 2, 0, 2, 2]"
O X  OXXO,5,"[2, 0, 1, 0, 0, 2, 1, 1, 2]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
OX       ,4,"[2, 1, 0, 0, 0, 0, 0, 0, 0]"
    X X O,3,"[0, 0, 0, 0, 1, 0, 1, 0, 2]"
  XO OXX ,5,"[0, 0, 1, 2, 0, 2, 1, 1, 0]"
OXXX OO  ,9,"[2, 1, 1, 1, 0, 2, 2, 0, 0]"
       XO,5,"[0, 0, 0, 0, 0, 0, 0, 1, 2]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O   OX  X,8,"[2, 0, 0, 0, 2, 1, 0, 0, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XXOX OO,2,"[0, 0, 1, 1, 2, 1, 0, 2, 2]"
     X   ,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
O OXXOOXX,2,"[2, 0, 2, 1, 1, 2, 2, 1, 1]"
      OXX,4,"[0, 0, 0, 0, 0, 0, 2, 1, 1]"
     X  O,5,"[0, 0, 0, 0, 0, 1, 0, 0, 2]"
 OXX  O  ,6,"[0, 2, 1, 1, 0, 0, 2, 0, 0]"
XX OXOX O,3,"[1, 1, 0, 2, 1, 2, 1, 0, 2]"
   X O  X,7,"[0, 0, 0, 1, 0, 2, 0, 0, 1]"
  O X XO ,4,"[0, 0, 2, 0, 1, 0, 1, 2, 0]"
 XXOOXOXO,1,"[0, 1, 1, 2, 2, 1, 2, 1, 2]"
     X   ,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
OO  OXXX ,9,"[2, 2, 0, 0, 2, 1, 1, 1, 0]"
X  X    O,7,"[1, 0, 0, 1, 0, 0, 0, 0, 2]"
XOXXXOO  ,9,"[1, 2, 1, 1, 1, 2, 2, 0, 0]"
OO X    X,3,"[2, 2, 0, 1, 0, 0, 0, 0, 1]"
OO OXX  X,3,"[2, 2, 0, 2, 1, 1, 0, 0, 1]"
XOXO  XO ,5,"[1, 2, 1, 2, 0, 0, 1, 2, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  OOX X  ,9,"[0, 0, 2, 2, 1, 0, 1, 0, 0]"
 XOXX XOO,6,"[0, 1, 2, 1, 1, 0, 1, 2, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
X   XO XO,3,"[1, 0, 0, 0, 1, 2, 0, 1, 2]"
XO X   O ,5,"[1, 2, 0, 1, 0, 0, 0, 2, 0]"
 X    O  ,1,"[0, 1, 0, 0, 0, 0, 2, 0, 0]"
O       X,3,"[2, 0, 0, 0, 0, 0, 0, 0, 1]"
 X      O,3,"[0, 1, 0, 0, 0, 0, 0, 0, 2]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
OX XXOXOO,3,"[2, 1, 0, 1, 1, 2, 1, 2, 2]"
OXOXOXX  ,9,"[2, 1, 2, 1, 2, 1, 1, 0, 0]"
OOX   XOX,5,"[2, 2, 1, 0, 0, 0, 1, 2, 1]"
  X X  O ,9,"[0, 0, 1, 0, 1, 0, 0, 2, 0]"
   X O   ,5,"[0, 0, 0, 1, 0, 2, 0, 0, 0]"
X  XO  OX,7,"[1, 0, 0, 1, 2, 0, 0, 2, 1]"
 O  XXOXO,4,"[0, 2, 0, 0, 1, 1, 2, 1, 2]"
     X O ,5,"[0, 0, 0, 0, 0, 1, 0, 2, 0]"
   X  O  ,8,"[0, 0, 0, 1, 0, 0, 2, 0, 0]"
X OX O X ,7,"[1, 0, 2, 1, 0, 2, 0, 1, 0]"
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
XO XO   X,7,"[1, 2, 0, 1, 2, 0, 0, 0, 1]"
OXO  X OX,7,"[2, 1, 2, 0, 0, 1, 0, 2, 1]"
OX X OOX ,5,"[2, 1, 0, 1, 0, 2, 2, 1, 0]"
  O  XX  ,5,"[0, 0, 2, 0, 0, 1, 1, 0, 0]"
 X O  X O,5,"[0, 1, 0, 2, 0, 0, 1, 0, 2]"
 XX OO   ,1,"[0, 1, 1, 0, 2, 2, 0, 0, 0]"
       X ,9,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
O OX  X X,2,"[2, 0, 2, 1, 0, 0, 1, 0, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XOOXXXO ,1,"[0, 1, 2, 2, 1, 1, 1, 2, 0]"
X OXO    ,7,"[1, 0, 2, 1, 2, 0, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XOOX X  ,8,"[0, 1, 2, 2, 1, 0, 1, 0, 0]"
   OOX XX,3,"[0, 0, 0, 2, 2, 1, 0, 1, 1]"
 O   XXO ,5,"[0, 2, 0, 0, 0, 1, 1, 2, 0]"
OXX  X OO,7,"[2, 1, 1, 0, 0, 1, 0, 2, 2]"
 X   O XO,3,"[0, 1, 0, 0, 0, 2, 0, 1, 2]"
    X XOO,1,"[0, 0, 0, 0, 1, 0, 1, 2, 2]"
OXXOXX OO,7,"[2, 1, 1, 2, 1, 1, 0, 2, 2]"
O    O XX,2,"[2, 0, 0, 0, 0, 2, 0, 1, 1]"
 X  XX OO,7,"[0, 1, 0, 0, 1, 1, 0, 2, 2]"
 XOXOO XX,7,"[0, 1, 2, 1, 2, 2, 0, 1, 1]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X OX     ,5,"[1, 0, 2, 1, 0, 0, 0, 0, 0]"
 XXOO  OX,6,"[0, 1, 1, 2, 2, 0, 0, 2, 1]"
X   XO   ,3,"[1, 0, 0, 0, 1, 2, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X      O ,7,"[1, 0, 0, 0, 0, 0, 0, 2, 0]"
    O   X,4,"[0, 0, 0, 0, 2, 0, 0, 0, 1]"
XXO   X O,6,"[1, 1, 2, 0, 0, 0, 1, 0, 2]"
XOO    X ,7,"[1, 2, 2, 0, 0, 0, 0, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXOXX XOO,6,"[2, 1, 2, 1, 1, 0, 1, 2, 2]"
    X  O ,4,"[0, 0, 0, 0, 1, 0, 0, 2, 0]"
XO  O   X,8,"[1, 2, 0, 0, 2, 0, 0, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O OX   X,7,"[0, 2, 0, 2, 1, 0, 0, 0, 1]"
X  XO   O,2,"[1, 0, 0, 1, 2, 0, 0, 0, 2]"
 XX OOOX ,1,"[0, 1, 1, 0, 2, 2, 2, 1, 0]"
X      O ,7,"[1, 0, 0, 0, 0, 0, 0, 2, 0]"
X X  OO  ,9,"[1, 0, 1, 0, 0, 2, 2, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XX   OOOX,3,"[1, 1, 0, 0, 0, 2, 2, 2, 1]"
  O XXOOX,4,"[0, 0, 2, 0, 1, 1, 2, 2, 1]"
 XOO  OXX,5,"[0, 1, 2, 2, 0, 0, 2, 1, 1]"
 OXOX   X,1,"[0, 2, 1, 2, 1, 0, 0, 0, 1]"
O      X ,7,"[2, 0, 0, 0, 0, 0, 0, 1, 0]"
 X  O XXO,6,"[0, 1, 0, 0, 2, 0, 1, 1, 2]"
XOO XX  O,4,"[1, 2, 2, 0, 1, 1, 0, 0, 2]"
XXO     O,7,"[1, 1, 2, 0, 0, 0, 0, 0, 2]"
 OX  X   ,5,"[0, 2, 1, 0, 0, 1, 0, 0, 0]"
  X X  O ,9,"[0, 0, 1, 0, 1, 0, 0, 2, 0]"
XO  OX  X,3,"[1, 2, 0, 0, 2, 1, 0, 0, 1]"
X    X O ,5,"[1, 0, 0, 0, 0, 1, 0, 2, 0]"
 O   X   ,5,"[0, 2, 0, 0, 0, 1, 0, 0, 0]"
 OXXO X O,1,"[0, 2, 1, 1, 2, 0, 1, 0, 2]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
X O OX X ,7,"[1, 0, 2, 0, 2, 1, 0, 1, 0]"
    OX X ,7,"[0, 0, 0, 0, 2, 1, 0, 1, 0]"
XOOXOX  X,7,"[1, 2, 2, 1, 2, 1, 0, 0, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O X      ,9,"[2, 0, 1, 0, 0, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O O XX   ,2,"[2, 0, 2, 0, 1, 1, 0, 0, 0]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
  X XO O ,2,"[0, 0, 1, 0, 1, 2, 0, 2, 0]"
 XXX  OO ,9,"[0, 1, 1, 1, 0, 0, 2, 2, 0]"
 X OX O  ,1,"[0, 1, 0, 2, 1, 0, 2, 0, 0]"
X O  X O ,4,"[1, 0, 2, 0, 0, 1, 0, 2, 0]"
O XOXX  O,7,"[2, 0, 1, 2, 1, 1, 0, 0, 2]"
X X   O  ,9,"[1, 0, 1, 0, 0, 0, 2, 0, 0]"
XO  XOXO ,4,"[1, 2, 0, 0, 1, 2, 1, 2, 0]"
X OXOO X ,7,"[1, 0, 2, 1, 2, 2, 0, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
 XX OOO X,1,"[0, 1, 1, 0, 2, 2, 2, 0, 1]"
     X   ,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
O XXO  X ,9,"[2, 0, 1, 1, 2, 0, 0, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XOX XOOX,5,"[0, 1, 2, 1, 0, 1, 2, 2, 1]"
   OXX O ,9,"[0, 0, 0, 2, 1, 1, 0, 2, 0]"
  X OO XX,4,"[0, 0, 1, 0, 2, 2, 0, 1, 1]"
    OX   ,9,"[0, 0, 0, 0, 2, 1, 0, 0, 0]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
  XO O X ,5,"[0, 0, 1, 2, 0, 2, 0, 1, 0]"
 XXO  OX ,1,"[0, 1, 1, 2, 0, 0, 2, 1, 0]"
 X OX XOO,3,"[0, 1, 0, 2, 1, 0, 1, 2, 2]"
    OOXX ,4,"[0, 0, 0, 0, 2, 2, 1, 1, 0]"
 X XOOOXX,3,"[0, 1, 0, 1, 2, 2, 2, 1, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O    XXXO,3,"[2, 0, 0, 0, 0, 1, 1, 1, 2]"
XOOO XX  ,9,"[1, 2, 2, 2, 0, 1, 1, 0, 0]"
OXOXXOXO ,9,"[2, 1, 2, 1, 1, 2, 1, 2, 0]"
OOXX     ,5,"[2, 2, 1, 1, 0, 0, 0, 0, 0]"
  OX O X ,9,"[0, 0, 2, 1, 0, 2, 0, 1, 0]"
   X O  X,7,"[0, 0, 0, 1, 0, 2, 0, 0, 1]"
    XO OX,3,"[0, 0, 0, 0, 1, 2, 0, 2, 1]"
XX   OO  ,5,"[1, 1, 0, 0, 0, 2, 2, 0, 0]"
O X X  XO,4,"[2, 0, 1, 0, 1, 0, 0, 1, 2]"
XOOXXOOX ,9,"[1, 2, 2, 1, 1, 2, 2, 1, 0]"
  XXOXOXO,1,"[0, 0, 1, 1, 2, 1, 2, 1, 2]"
 OO    XX,1,"[0, 2, 2, 0, 0, 0, 0, 1, 1]"
XX   O   ,3,"[1, 1, 0, 0, 0, 2, 0, 0, 0]"
       X ,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
O     OXX,3,"[2, 0, 0, 0, 0, 0, 2, 1, 1]"
XOX  O XO,7,"[1, 2, 1, 0, 0, 2, 0, 1, 2]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X X    O,3,"[0, 1, 0, 1, 0, 0, 0, 0, 2]"
OXX  O   ,5,"[2, 1, 1, 0, 0, 2, 0, 0, 0]"
  XX O  O,7,"[0, 0, 1, 1, 0, 2, 0, 0, 2]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
 X  O    ,9,"[0, 1, 0, 0, 2, 0, 0, 0, 0]"
XX OO XO ,3,"[1, 1, 0, 2, 2, 0, 1, 2, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X O XOX  ,9,"[1, 0, 2, 0, 1, 2, 1, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
XXOX  OO ,5,"[1, 1, 2, 1, 0, 0, 2, 2, 0]"
X O  XOX ,5,"[1, 0, 2, 0, 0, 1, 2, 1, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
O   O XX ,9,"[2, 0, 0, 0, 2, 0, 1, 1, 0]"
OXXOX  O ,7,"[2, 1, 1, 2, 1, 0, 0, 2, 0]"
  O X  X ,2,"[0, 0, 2, 0, 1, 0, 0, 1, 0]"
  XX  OXO,5,"[0, 0, 1, 1, 0, 0, 2, 1, 2]"
X XOX   O,7,"[1, 0, 1, 2, 1, 0, 0, 0, 2]"
XX O     ,5,"[1, 1, 0, 2, 0, 0, 0, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XO       ,5,"[1, 2, 0, 0, 0, 0, 0, 0, 0]"
  O     X,7,"[0, 0, 2, 0, 0, 0, 0, 0, 1]"
 X       ,5,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
OX XOX OX,3,"[2, 1, 0, 1, 2, 1, 0, 2, 1]"
 X XOO   ,1,"[0, 1, 0, 1, 2, 2, 0, 0, 0]"
X  XO OX ,3,"[1, 0, 0, 1, 2, 0, 2, 1, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X     XO,5,"[0, 1, 0, 0, 0, 0, 0, 1, 2]"
  XO X O ,2,"[0, 0, 1, 2, 0, 1, 0, 2, 0]"
    X  OX,4,"[0, 0, 0, 0, 1, 0, 0, 2, 1]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X   O    ,9,"[1, 0, 0, 0, 2, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X X  OOX,5,"[0, 1, 0, 1, 0, 0, 2, 2, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  OXXX O,3,"[2, 0, 0, 2, 1, 1, 1, 0, 2]"
XOXX XO O,8,"[1, 2, 1, 1, 0, 1, 2, 0, 2]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OX X OOX,6,"[0, 2, 1, 0, 1, 0, 2, 2, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O O  XX X,2,"[2, 0, 2, 0, 0, 1, 1, 0, 1]"
 XOX  X O,1,"[0, 1, 2, 1, 0, 0, 1, 0, 2]"
  O X    ,2,"[0, 0, 2, 0, 1, 0, 0, 0, 0]"
OOX XOOXX,4,"[2, 2, 1, 0, 1, 2, 2, 1, 1]"
 X  XXOO ,4,"[0, 1, 0, 0, 1, 1, 2, 2, 0]"
O XXOX   ,9,"[2, 0, 1, 1, 2, 1, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X     O  ,9,"[1, 0, 0, 0, 0, 0, 2, 0, 0]"
OX X XOOX,5,"[2, 1, 0, 1, 0, 1, 2, 2, 1]"
       X ,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
 XOXOOXOX,1,"[0, 1, 2, 1, 2, 2, 1, 2, 1]"
X OOOXXXO,2,"[1, 0, 2, 2, 2, 1, 1, 1, 2]"
XXOOOXX O,8,"[1, 1, 2, 2, 2, 1, 1, 0, 2]"
 O O X X ,9,"[0, 2, 0, 2, 0, 1, 0, 1, 0]"
OOXOX  X ,7,"[2, 2, 1, 2, 1, 0, 0, 1, 0]"
   XOOXXO,1,"[0, 0, 0, 1, 2, 2, 1, 1, 2]"
X   OXO X,3,"[1, 0, 0, 0, 2, 1, 2, 0, 1]"
 O    X  ,1,"[0, 2, 0, 0, 0, 0, 1, 0, 0]"
OXXOO X X,6,"[2, 1, 1, 2, 2, 0, 1, 0, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O X     ,5,"[0, 2, 0, 1, 0, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   X     ,5,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
 O OOX XX,1,"[0, 2, 0, 2, 2, 1, 0, 1, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  XX O  ,8,"[2, 0, 0, 1, 1, 0, 2, 0, 0]"
 OXXX OXO,6,"[0, 2, 1, 1, 1, 0, 2, 1, 2]"
   X OX  ,1,"[0, 0, 0, 1, 0, 2, 1, 0, 0]"
OX OOXXOX,3,"[2, 1, 0, 2, 2, 1, 1, 2, 1]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
XOX OOOXX,4,"[1, 2, 1, 0, 2, 2, 2, 1, 1]"
      O X,3,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
XXO    OX,5,"[1, 1, 2, 0, 0, 0, 0, 2, 1]"
X  XO  XO,7,"[1, 0, 0, 1, 2, 0, 0, 1, 2]"
 O OXOX X,1,"[0, 2, 0, 2, 1, 2, 1, 0, 1]"
   X O  X,7,"[0, 0, 0, 1, 0, 2, 0, 0, 1]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X      XO,3,"[1, 0, 0, 0, 0, 0, 0, 1, 2]"
 OOXOX X ,1,"[0, 2, 2, 1, 2, 1, 0, 1, 0]"
X X  OO  ,9,"[1, 0, 1, 0, 0, 2, 2, 0, 0]"
O XXOXXO ,9,"[2, 0, 1, 1, 2, 1, 1, 2, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O OXX XXO,2,"[2, 0, 2, 1, 1, 0, 1, 1, 2]"
 OO  X X ,1,"[0, 2, 2, 0, 0, 1, 0, 1, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XO X XOXO,5,"[1, 2, 0, 1, 0, 1, 2, 1, 2]"
XX  O   O,7,"[1, 1, 0, 0, 2, 0, 0, 0, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
  X XOOOX,1,"[0, 0, 1, 0, 1, 2, 2, 2, 1]"
 XOO OXX ,5,"[0, 1, 2, 2, 0, 2, 1, 1, 0]"
XXOXXOO  ,9,"[1, 1, 2, 1, 1, 2, 2, 0, 0]"
 X O     ,5,"[0, 1, 0, 2, 0, 0, 0, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
O XX OXOX,5,"[2, 0, 1, 1, 0, 2, 1, 2, 1]"
X  OOXO X,3,"[1, 0, 0, 2, 2, 1, 2, 0, 1]"
O OX    X,2,"[2, 0, 2, 1, 0, 0, 0, 0, 1]"
 X    XO ,3,"[0, 1, 0, 0, 0, 0, 1, 2, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
  O   X  ,1,"[0, 0, 2, 0, 0, 0, 1, 0, 0]"
  O  X   ,2,"[0, 0, 2, 0, 0, 1, 0, 0, 0]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
 XOO XXOX,1,"[0, 1, 2, 2, 0, 1, 1, 2, 1]"
OOXX     ,5,"[2, 2, 1, 1, 0, 0, 0, 0, 0]"
O     XX ,5,"[2, 0, 0, 0, 0, 0, 1, 1, 0]"
    X    ,7,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  XOXOOXX,1,"[0, 0, 1, 2, 1, 2, 2, 1, 1]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
 OOOXXXOX,1,"[0, 2, 2, 2, 1, 1, 1, 2, 1]"
   O  X  ,9,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
  O  OX X,2,"[0, 0, 2, 0, 0, 2, 1, 0, 1]"
 X  X O O,8,"[0, 1, 0, 0, 1, 0, 2, 0, 2]"
       X ,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
O X   X O,5,"[2, 0, 1, 0, 0, 0, 1, 0, 2]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
OO  OXX X,3,"[2, 2, 0, 0, 2, 1, 1, 0, 1]"
 XX O X O,1,"[0, 1, 1, 0, 2, 0, 1, 0, 2]"
X XO   O ,6,"[1, 0, 1, 2, 0, 0, 0, 2, 0]"
   X    O,7,"[0, 0, 0, 1, 0, 0, 0, 0, 2]"
XO O OXX ,9,"[1, 2, 0, 2, 0, 2, 1, 1, 0]"
 O   XO X,1,"[0, 2, 0, 0, 0, 1, 2, 0, 1]"
  XO OX  ,5,"[0, 0, 1, 2, 0, 2, 1, 0, 0]"
XX OOXO X,3,"[1, 1, 0, 2, 2, 1, 2, 0, 1]"
  XOX OX ,1,"[0, 0, 1, 2, 1, 0, 2, 1, 0]"
  X  O   ,1,"[0, 0, 1, 0, 0, 2, 0, 0, 0]"
XOOXX  O ,9,"[1, 2, 2, 1, 1, 0, 0, 2, 0]"
  X   O  ,9,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
 OXOOXX  ,9,"[0, 2, 1, 2, 2, 1, 1, 0, 0]"
  O X    ,6,"[0, 0, 2, 0, 1, 0, 0, 0, 0]"
 OOX   XX,7,"[0, 2, 2, 1, 0, 0, 0, 1, 1]"
  XX OO  ,5,"[0, 0, 1, 1, 0, 2, 2, 0, 0]"
X OO X  X,5,"[1, 0, 2, 2, 0, 1, 0, 0, 1]"
XXO  XO  ,9,"[1, 1, 2, 0, 0, 1, 2, 0, 0]"
OOX XOOXX,4,"[2, 2, 1, 0, 1, 2, 2, 1, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X OXOX  O,7,"[1, 0, 2, 1, 2, 1, 0, 0, 2]"
 OOXX OX ,1,"[0, 2, 2, 1, 1, 0, 2, 1, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
  X     O,1,"[0, 0, 1, 0, 0, 0, 0, 0, 2]"
    X    ,9,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  X  OX O,4,"[0, 0, 1, 0, 0, 2, 1, 0, 2]"
   XO  X ,9,"[0, 0, 0, 1, 2, 0, 0, 1, 0]"
OX O    X,7,"[2, 1, 0, 2, 0, 0, 0, 0, 1]"
  OO   XX,5,"[0, 0, 2, 2, 0, 0, 0, 1, 1]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   OXX  O,8,"[0, 0, 0, 2, 1, 1, 0, 0, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X  O X O,1,"[0, 1, 0, 0, 2, 0, 1, 0, 2]"
    OXX  ,8,"[0, 0, 0, 0, 2, 1, 1, 0, 0]"
       X ,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
    O  X ,3,"[0, 0, 0, 0, 2, 0, 0, 1, 0]"
O    X   ,3,"[2, 0, 0, 0, 0, 1, 0, 0, 0]"
 O  OXXXO,1,"[0, 2, 0, 0, 2, 1, 1, 1, 2]"
    XX O ,2,"[0, 0, 0, 0, 1, 1, 0, 2, 0]"
X O  XOX ,5,"[1, 0, 2, 0, 0, 1, 2, 1, 0]"
XO    X O,3,"[1, 2, 0, 0, 0, 0, 1, 0, 2]"
XXOOXXO O,8,"[1, 1, 2, 2, 1, 1, 2, 0, 2]"
XOXXOO XO,7,"[1, 2, 1, 1, 2, 2, 0, 1, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O OXXX ,9,"[0, 0, 2, 0, 2, 1, 1, 1, 0]"
O X XO   ,8,"[2, 0, 1, 0, 1, 2, 0, 0, 0]"
 X   XOXO,5,"[0, 1, 0, 0, 0, 1, 2, 1, 2]"
X O XO X ,9,"[1, 0, 2, 0, 1, 2, 0, 1, 0]"
 XOXO XXO,6,"[0, 1, 2, 1, 2, 0, 1, 1, 2]"
   X XOO ,9,"[0, 0, 0, 1, 0, 1, 2, 2, 0]"
X  OOXO X,3,"[1, 0, 0, 2, 2, 1, 2, 0, 1]"
O XX OOXX,2,"[2, 0, 1, 1, 0, 2, 2, 1, 1]"
   XX  O ,2,"[0, 0, 0, 1, 1, 0, 0, 2, 0]"
X       O,3,"[1, 0, 0, 0, 0, 0, 0, 0, 2]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  XO X  ,9,"[2, 0, 0, 1, 2, 0, 1, 0, 0]"
X XO O   ,5,"[1, 0, 1, 2, 0, 2, 0, 0, 0]"
 OOX  X X,1,"[0, 2, 2, 1, 0, 0, 1, 0, 1]"
OOXX X XO,5,"[2, 2, 1, 1, 0, 1, 0, 1, 2]"
 XX  OOXO,5,"[0, 1, 1, 0, 0, 2, 2, 1, 2]"
   O X XO,2,"[0, 0, 0, 2, 0, 1, 0, 1, 2]"
XX OOX XO,3,"[1, 1, 0, 2, 2, 1, 0, 1, 2]"
X   XO  O,3,"[1, 0, 0, 0, 1, 2, 0, 0, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
