board,decision,Input
XOO X X O,4,"[1, 2, 2, 0, 1, 0, 1, 0, 2]"
OX    OX ,5,"[2, 1, 0, 0, 0, 0, 2, 1, 0]"
X  O X  O,8,"[1, 0, 0, 2, 0, 1, 0, 0, 2]"
OXXXO  O ,9,"[2, 1, 1, 1, 2, 0, 0, 2, 0]"
  XO  XXO,5,"[0, 0, 1, 2, 0, 0, 1, 1, 2]"
X XO XO O,2,"[1, 0, 1, 2, 0, 1, 2, 0, 2]"
OO XOXOXX,3,"[2, 2, 0, 1, 2, 1, 2, 1, 1]"
XX X O  O,3,"[1, 1, 0, 1, 0, 2, 0, 0, 2]"
 XX OX OO,1,"[0, 1, 1, 0, 2, 1, 0, 2, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O O X X,1,"[0, 0, 2, 0, 2, 0, 1, 0, 1]"
X O X O  ,8,"[1, 0, 2, 0, 1, 0, 2, 0, 0]"
 OXX O   ,7,"[0, 2, 1, 1, 0, 2, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  O X O X,2,"[0, 0, 2, 0, 1, 0, 2, 0, 1]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
XO  XOXXO,3,"[1, 2, 0, 0, 1, 2, 1, 1, 2]"
OXOX XOX ,5,"[2, 1, 2, 1, 0, 1, 2, 1, 0]"
O XOO XX ,9,"[2, 0, 1, 2, 2, 0, 1, 1, 0]"
X O     X,7,"[1, 0, 2, 0, 0, 0, 0, 0, 1]"
  XXO    ,2,"[0, 0, 1, 1, 2, 0, 0, 0, 0]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
XOXO   X ,9,"[1, 2, 1, 2, 0, 0, 0, 1, 0]"
XO OOXXX ,9,"[1, 2, 0, 2, 2, 1, 1, 1, 0]"
OXX   O X,4,"[2, 1, 1, 0, 0, 0, 2, 0, 1]"
   OX  OX,3,"[0, 0, 0, 2, 1, 0, 0, 2, 1]"
 X  OXO  ,3,"[0, 1, 0, 0, 2, 1, 2, 0, 0]"
XXOO OOXX,5,"[1, 1, 2, 2, 0, 2, 2, 1, 1]"
  X    XO,2,"[0, 0, 1, 0, 0, 0, 0, 1, 2]"
    O X X,8,"[0, 0, 0, 0, 2, 0, 1, 0, 1]"
X OO XXOX,5,"[1, 0, 2, 2, 0, 1, 1, 2, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX  O   X,3,"[2, 1, 0, 0, 2, 0, 0, 0, 1]"
  OX  O X,5,"[0, 0, 2, 1, 0, 0, 2, 0, 1]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
